# Time currentProc (coordinatesa coordinatesb coordinatesc coordinatesd) celli tetFacei tetPti facei stepFraction behind nBehind origProc origId moving typeId nParticle d dTarget  (Ux Uy Uz) rho age tTurb (UTurbx UTurby UTurbz) T Cp
20 0 (0 0.690399 0.0867546 0.222846) 15002 28457 1 28457 0.876881 0 0 0 7 true -1 100 5e-05 0 (16.6014 0.252794 0.23003) 2500 0.0175376 0.00013017 (0.339988 0.400311 1.30136) 1987.03 850
20 0 (0 0.038371 0.102108 0.859521) 13596 28447 2 28447 0.670059 0 0 0 9 true -1 100 5e-05 0 (26.4255 0.00312936 0.00143347) 2500 0.0134012 0.000105977 (-1.39002 -1.5553 -0.695051) 1968.1 850
20 0 (0 0.402984 0.0838529 0.513163) 13612 28448 1 28448 0.579231 0 0 0 10 true -1 100 5e-05 0 (40.9727 -0.612065 0.328071) 2500 0.0115846 0.000481842 (2.14807 -2.9664 1.38995) 1915.91 850
20 0 (0 0.301188 0.555775 0.143037) 13596 28447 1 28447 0.680772 0 0 0 11 true -1 100 5e-05 0 (25.395 0.862154 0.0513176) 2500 0.0136154 0.000128254 (0.0979942 -0.135601 -0.0636297) 1968.2 850
20 0 (0 0.833575 0.107882 0.0585431) 14348 28454 1 28454 0.999098 0 0 0 12 true -1 100 5e-05 0 (11.7253 0.243624 0.0304069) 2500 0.019982 0.000260744 (1.64739 1.77962 0.671343) 1990.2 850
20 0 (0 0.261797 0.475172 0.263031) 13612 28448 1 28448 0.700445 0 0 0 13 true -1 100 5e-05 0 (38.2573 -0.885743 -0.933328) 2500 0.0140089 0.000500408 (-1.67024 -0.125113 -2.35587) 1932.03 850
20 0 (0 0.282169 0.192951 0.52488) 13983 28452 2 28452 0.587666 0 0 0 14 true -1 100 5e-05 0 (40.1806 -0.50144 1.46797) 2500 0.0117533 0.000350535 (3.65438 2.676 1.6925) 1916.88 850
20 0 (0 0.0415404 0.863415 0.0950445) 13612 28448 1 28448 0.573937 0 0 0 15 true -1 100 5e-05 0 (54.0531 -0.0345423 -0.320748) 2500 0.0114787 0.000480492 (0.210065 -0.0918533 0.175917) 1869.07 850
20 0 (0 0.794713 0.0555586 0.149729) 16174 28460 1 28460 0.726201 0 0 0 16 true -1 100 5e-05 0 (34.9299 0.122882 0.206814) 2500 0.014524 0.000710102 (-0.821092 -1.03963 -0.156387) 1933.3 850
20 0 (0 0.0167018 0.587993 0.395305) 13983 28452 2 28452 0.564786 0 0 0 17 true -1 100 5e-05 0 (53.4573 -0.0154824 -0.474821) 2500 0.0112957 0.000511292 (-0.288795 -0.112638 0.424311) 1855.21 850
20 0 (0 0.162684 0.248267 0.589049) 15002 28457 1 28457 0.479209 0 0 0 18 true -1 100 5e-05 0 (55.7339 -0.148656 1.51838) 2500 0.00958418 0.000466537 (0.791743 0.865008 2.78867) 1833.04 850
20 0 (0 0.445705 0.382602 0.171693) 15002 28457 2 28457 0.440029 0 0 0 19 true -1 100 5e-05 0 (73.0588 0.373342 -0.674592) 2500 0.00880058 2.02707e-05 (-0.561679 0.977029 4.25131) 1719.75 850
20 0 (0 0.437089 0.47943 0.0834816) 15002 28457 1 28457 0.471888 0 0 0 20 true -1 100 5e-05 0 (70.9959 -0.049352 -0.587557) 2500 0.00943776 0.000493143 (1.65316 0.520808 0.401928) 1728.49 850
20 0 (0 0.285364 0.243359 0.471277) 13612 28448 1 28448 0.507459 0 0 0 21 true -1 100 5e-05 0 (57.9293 0.760872 0.28703) 2500 0.0101492 0.000641717 (0.0474927 -0.0801543 0.236446) 1825.86 850
20 0 (0 0.0581977 0.0747095 0.867093) 13612 28448 1 28448 0.626195 0 0 0 22 true -1 100 5e-05 0 (61.7144 0.143099 -0.412877) 2500 0.0125239 0.000427545 (-1.13117 -1.23558 -0.52463) 1819.42 850
20 0 (0 0.196048 0.238225 0.565727) 13983 28452 2 28452 0.470337 0 0 0 23 true -1 100 5e-05 0 (75.248 0.0233069 -0.0469) 2500 0.00940674 0.000585686 (-0.148972 -0.904293 -0.307262) 1700.98 850
20 0 (0 0.243972 0.11402 0.642008) 15002 28457 2 28457 0.422838 0 0 0 24 true -1 100 5e-05 0 (88.5841 -0.481131 0.39722) 2500 0.00845677 3.17571e-06 (-2.83642 2.89038 -1.10682) 1594.47 850
20 0 (0 0.729044 0.189827 0.081129) 13596 28447 1 28447 0.485158 0 0 0 25 true -1 100 5e-05 0 (61.1989 0.368875 -0.108542) 2500 0.00970315 0.000506226 (0.546843 -0.26226 -0.94331) 1791.66 850
20 0 (0 0.648748 0.339816 0.0114358) 13612 28448 1 28448 0.498222 0 0 0 26 true -1 100 5e-05 0 (71.8865 -0.338944 -0.168668) 2500 0.00996444 0.000565462 (-0.788533 0.60727 -0.0344412) 1746.73 850
20 0 (0 0.817373 0.134536 0.0480908) 13612 28448 2 28448 0.437126 0 0 0 27 true -1 100 5e-05 0 (82.3929 -0.0634089 -0.245651) 2500 0.00874251 0.000481595 (-1.8194 -0.492787 -2.809) 1640.9 850
20 0 (0 0.644472 0.170478 0.18505) 15002 28457 2 28457 0.473309 0 0 0 28 true -1 100 5e-05 0 (82.8838 0.602011 -0.0947336) 2500 0.00946618 0.000444381 (1.24657 1.25134 -2.77987) 1660.81 850
20 0 (0 0.0153078 0.412099 0.572594) 16174 28460 1 28460 0.540711 0 0 0 29 true -1 100 5e-05 0 (67.4245 0.0276841 -0.268845) 2500 0.0108142 0.000586122 (-0.560579 0.597011 -1.18733) 1747.21 850
20 0 (0 0.361858 0.00987723 0.628265) 16174 28460 1 28460 0.564873 0 0 0 30 true -1 100 5e-05 0 (78.5591 -0.0317295 0.514149) 2500 0.0112975 0.000513947 (1.91487 2.00941 1.95868) 1665.16 850
20 0 (0 0.685818 0.245553 0.0686296) 15002 28457 1 28457 0.436509 0 0 0 31 true -1 100 5e-05 0 (92.0757 0.209705 -0.506461) 2500 0.00873018 2.35512e-05 (-0.3674 0.178983 0.197703) 1560.14 850
20 0 (0 0.545278 0.152776 0.301945) 13596 28447 1 28447 0.439617 0 0 0 32 true -1 100 5e-05 0 (71.021 0.853371 0.294822) 2500 0.00879234 0.000483061 (1.53381 0.648332 2.26969) 1715.61 850
20 0 (0 0.0470671 0.296702 0.656231) 13612 28448 1 28448 0.391439 0 0 0 33 true -1 100 5e-05 0 (106.881 -0.343188 0.121436) 2500 0.00782878 2.27441e-05 (-2.45639 1.03985 -0.264425) 1411.57 850
20 0 (0 0.52154 0.419672 0.058788) 13612 28448 2 28448 0.457715 0 0 0 34 true -1 100 5e-05 0 (90.3943 -0.101443 0.512289) 2500 0.0091543 0.000423159 (-1.61621 -0.792868 2.0049) 1592.27 850
20 0 (0 0.126744 0.188288 0.684968) 13612 28448 2 28448 0.437359 0 0 0 35 true -1 100 5e-05 0 (94.8757 0.0337373 -0.275895) 2500 0.00874717 2.61005e-05 (0.436942 0.280228 -0.87274) 1528.1 850
20 0 (0 0.175672 0.676031 0.148298) 13612 28448 1 28448 0.429571 0 0 0 36 true -1 100 5e-05 0 (100.238 0.282346 -0.0743856) 2500 0.00859141 2.51489e-05 (-0.479488 1.30784 -0.261511) 1491.14 850
