# Selection   : patch(fluidHot)
# Faces       : 27
# Area        : 8.121529e-05
# Time        	sum(phi)
0.00000000e+00	-1.010336e-03
1.00000000e-04	-1.010333e-03
2.00000000e-04	-1.010332e-03
3.00000000e-04	-1.010329e-03
4.00000000e-04	-1.010327e-03
5.00000000e-04	-1.010324e-03
6.00000000e-04	-1.010321e-03
7.00000000e-04	-1.010318e-03
8.00000000e-04	-1.010315e-03
9.00000000e-04	-1.010312e-03
1.00000000e-03	-1.010308e-03
1.10000000e-03	-1.010305e-03
1.20000000e-03	-1.010301e-03
1.30000000e-03	-1.010296e-03
1.40000000e-03	-1.010292e-03
1.50000000e-03	-1.010287e-03
1.60000000e-03	-1.010282e-03
1.70000000e-03	-1.010277e-03
1.80000000e-03	-1.010272e-03
1.90000000e-03	-1.010267e-03
2.00000000e-03	-1.010261e-03
2.10000000e-03	-1.010255e-03
2.20000000e-03	-1.010249e-03
2.30000000e-03	-1.010243e-03
2.40000000e-03	-1.010237e-03
2.50000000e-03	-1.010230e-03
