! solver  ss/ns  timestep  coupled  nonlin  norm  change
       1       0       1       1       2   884.57360       2.0000000
       1       0       1       1       3   883.91219      0.74799608E-03
       1       0       1       1       4   883.14732      0.86569381E-03
       1       0       1       1       5   882.21617      0.10549138E-02
       1       0       1       1       6   881.20796      0.11434672E-02
       1       0       1       1       7   880.24524      0.10930914E-02
       1       0       1       1       8   879.39265      0.96906113E-03
       1       0       1       1       9   878.66324      0.82978829E-03
       1       0       1       1      10   878.03926      0.71039603E-03
       1       0       1       1      11   877.49967      0.61472504E-03
       1       0       1       1      12   877.02666      0.53919632E-03
       1       0       1       1      13   876.60831      0.47711588E-03
       1       0       1       1      14   876.23578      0.42506626E-03
       1       0       1       1      15   875.90294      0.37991896E-03
       1       0       1       1      16   875.60542      0.33973656E-03
       1       0       1       1      17   875.33891      0.30441192E-03
       1       0       1       1      18   875.09969      0.27332744E-03
       1       0       1       1      19   874.88539      0.24491246E-03
       1       0       1       1      20   874.69419      0.21856834E-03
       1       0       1       1      21   874.52400      0.19459399E-03
       1       0       1       1      22   874.37314      0.17252020E-03
       1       0       1       1      23   874.23979      0.15252445E-03
       1       0       1       1      24   874.12184      0.13492402E-03
       1       0       1       1      25   874.01767      0.11918018E-03
       1       0       1       1      26   873.92583      0.10507966E-03
       1       0       1       1      27   873.84462      0.92929284E-04
       1       0       1       1      28   873.77278      0.82210725E-04
       1       0       1       1      29   873.70922      0.72748730E-04
       1       0       1       1      30   873.65283      0.64536658E-04
       1       0       1       1      31   873.60277      0.57310739E-04
       1       0       1       1      32   873.55822      0.50996300E-04
       1       0       1       1      33   873.51842      0.45561713E-04
       1       0       1       1      34   873.48274      0.40842227E-04
       1       0       1       1      35   873.45069      0.36695731E-04
       1       0       1       1      36   873.42184      0.33031906E-04
       1       0       1       1      37   873.39576      0.29862191E-04
       1       0       1       1      38   873.37209      0.27094851E-04
       1       0       1       1      39   873.35056      0.24651787E-04
       1       0       1       1      40   873.33092      0.22490737E-04
       1       0       1       1      41   873.31297      0.20558942E-04
       1       0       1       1      42   873.29652      0.18833571E-04
       1       0       1       1      43   873.28146      0.17244373E-04
       1       0       1       1      44   873.26764      0.15823106E-04
       1       0       1       1      45   873.25494      0.14540907E-04
       1       0       1       1      46   873.24325      0.13385912E-04
       1       0       1       1      47   873.23250      0.12313079E-04
       1       0       1       1      48   873.22260      0.11339877E-04
       1       0       1       1      49   873.21347      0.10459094E-04
       1       0       1       1      50   873.20503      0.96558032E-05
       1       0       1       1      51   873.19724      0.89240125E-05
       1       0       1       1      52   873.19003      0.82579490E-05
       1       0       1       1      53   873.18334      0.76602532E-05
       1       0       1       1      54   873.17713      0.71182316E-05
       1       0       1       1      55   873.17134      0.66258539E-05
       1       0       1       1      56   873.16595      0.61720449E-05
       1       0       1       1      57   873.16093      0.57471943E-05
       1       0       1       1      58   873.15626      0.53528054E-05
       1       0       1       1      59   873.15191      0.49814489E-05
       1       0       1       1      60   873.14785      0.46444420E-05
       1       0       1       1      61   873.14407      0.43374721E-05
       1       0       1       1      62   873.14053      0.40519346E-05
       1       0       1       1      63   873.13723      0.37832988E-05
       1       0       1       1      64   873.13414      0.35343239E-05
       1       0       1       1      65   873.13126      0.32992619E-05
       1       0       1       1      66   873.12857      0.30777218E-05
       1       0       1       1      67   873.12607      0.28692732E-05
       1       0       1       1      68   873.12373      0.26811980E-05
       1       0       1       1      69   873.12154      0.25055704E-05
       1       0       1       1      70   873.11949      0.23423558E-05
       1       0       1       1      71   873.11758      0.21916071E-05
       1       0       1       1      72   873.11579      0.20533272E-05
       1       0       1       1      73   873.11411      0.19254078E-05
       1       0       1       1      74   873.11253      0.18062912E-05
       1       0       1       1      75   873.11105      0.16964088E-05
       1       0       1       1      76   873.10966      0.15936344E-05
       1       0       1       1      77   873.10835      0.14977338E-05
       1       0       1       1      78   873.10712      0.14077670E-05
       1       0       1       1      79   873.10596      0.13244604E-05
       1       0       1       1      80   873.10487      0.12470376E-05
       1       0       1       1      81   873.10385      0.11751319E-05
       1       0       1       1      82   873.10288      0.11071343E-05
       1       0       1       1      83   873.10197      0.10427568E-05
       1       0       1       1      84   873.10111      0.98322366E-06
       1       0       2       1       2   871.88019      0.13993574E-02
       1       0       2       1       3   870.98802      0.10237889E-02
       1       0       2       1       4   870.25794      0.83857659E-03
       1       0       2       1       5   869.64190      0.70812986E-03
       1       0       2       1       6   869.12249      0.59744747E-03
       1       0       2       1       7   868.69094      0.49666207E-03
       1       0       2       1       8   868.33709      0.40742174E-03
       1       0       2       1       9   868.04997      0.33069925E-03
       1       0       2       1      10   867.81843      0.26677465E-03
       1       0       2       1      11   867.63240      0.21439337E-03
       1       0       2       1      12   867.48318      0.17199134E-03
       1       0       2       1      13   867.36352      0.13795284E-03
       1       0       2       1      14   867.26751      0.11069665E-03
       1       0       2       1      15   867.19046      0.88849341E-04
       1       0       2       1      16   867.12864      0.71294679E-04
       1       0       2       1      17   867.07899      0.57252108E-04
       1       0       2       1      18   867.03914      0.45967486E-04
       1       0       2       1      19   867.00712      0.36929414E-04
       1       0       2       1      20   866.98137      0.29697552E-04
       1       0       2       1      21   866.96065      0.23903580E-04
       1       0       2       1      22   866.94395      0.19263439E-04
       1       0       2       1      23   866.93047      0.15540393E-04
       1       0       2       1      24   866.91959      0.12550024E-04
       1       0       2       1      25   866.91080      0.10140749E-04
       1       0       2       1      26   866.90369      0.82016259E-05
