path,title,molar_mass,molar_volume,formation_gibbs,formation_enthalpy,reference_entropy,reference_spec_heat,coef_a,coef_b,coef_c,track
/species/isiscz-1,(Ca0.092K0.439)(Si3.562Al0.438)(Al1.732Fe0.04Mg0.255)O10(OH)2,381.882,137.13,-5418621.0,-5787220.0,295.36,306.04,236.14,422.8,-49.92,"14bla/gai,Internal calculation,19gai/bla"
/species/ferrotremolite,(Ca2Fe5)Si8O22(OH)2,970.076,282.8,-9828634.0,-10508023.0,684.084,707.9,828.14,246.65,-172.26,"78hel/del,Internal calculation"
/species/tremolite,(Ca2Mg5)Si8O22(OH)2,812.366,272.92,-11575331.0,-12303000.0,548.9,650.21,783.7,283.15,-193.71,"78hel/del|92ajoh,Internal calculation,95rob/hem"
/species/hydrocalumnitecr,(CaCrO4)Al2O3(CaO)3:15H2O,696.464,nan,-8483554.0,-9588782.0,1064.22,nan,nan,nan,nan,"01per/pal,Internal calculation"
/species/berthierinefeiii,(Fe2.67Al0.33)(Si1.34Al0.66)O5(OH)4,361.484,103.27,-3152510.0,-3457440.0,287.97,297.41,297.41,0.0,0.0,"15bla/vie,Internal calculation"
/species/berthierinefeii,(Fe2Al)(SiAl)O5(OH)4,341.769,103.86,-3458910.0,-3775400.0,253.08,283.5,283.5,0.0,0.0,"15bla/vie,Internal calculation"
/species/jarositeh,(H3O)Fe3(SO4)2(OH)6,480.735,147.9,-3226205.0,-3770200.0,448.2,437.5,287.2,628.1,-32.86,"90rob/cam,Internal calculation,04maj/ste"
/species/glauconite,(K0.75Mg0.25Fe1.5Al0.25)(Al0.25Si3.75)O10(OH)2,431.991,139.76,-4800111.0,-5151140.0,366.58,344.54,344.54,0.0,0.0,"15bla/vie,Internal calculation"
/species/chloritecca-2,(Mg2.964Fe1.927Al1.116Ca0.011)(Si2.633Al1.367)O10(OH)8,617.095,211.83,-7593265.0,-8240140.0,469.19,546.95,594.24,379.98,-142.75,"14bla/gai,Internal calculation,09gai/rog"
/species/illiteimt2,(Na0.044K0.762)(Si3.387Al0.613)(Al1.427Fe0.376Mg0.241)O10(OH)2,401.837,139.18,-5345178.0,-5711250.0,324.91,328.09,317.44,279.13,-64.51,"12gai/bla,Internal calculation"
/species/saponitesapca,(Na0.394K0.021Ca0.038)(Si3.569Al0.397)(Mg2.949Fe0.055)O10(OH)2,391.107,141.66,-5622444.0,-5994060.0,314.55,347.29,359.93,251.1,-77.79,"13gai/bla,Internal calculation,09gai"
/species/berthierine-isgs,(Si1.332Al0.668)(Al0.976Fe1.622Mg0.157)O5(OH)4,324.194,101.16,-3456320.0,-3768950.0,257.0,263.37,263.37,0.0,0.0,"14bla/gai,Internal calculation"
/species/agelement,Ag,107.868,10.272,0.0,0.0,42.55,25.35,22.69,6.92,0.53,"95rob/hem,By convention,Internal calculation,89cox/wag"
/species/ag2o,Ag2O,231.735,30.0,-11196.0,-30976.0,121.336,65.88,46.57,64.77,0.0,"74nau/ryz,Internal calculation"
/species/acanthitealpha,Ag2S,247.802,34.2,-39448.0,-31589.0,143.511,76.12,65.4,35.98,0.0,"78hel/del,Internal calculation"
/species/chlorargyrite,AgCl,143.32,25.73,-109765.0,-127010.0,96.25,50.8,62.28,4.15,-11.31,"95rob/hem,Internal calculation,89cox/wag,78rob/hem|70pan"
/species/jarositeag,AgFe3(SO4)2(OH)6,569.58,nan,-2948710.0,nan,nan,nan,nan,nan,nan,75kas/bor
/species/alelement,Al,26.982,9.999,0.0,0.0,28.3,24.2,22.59,9.61,-1.11,"95rob/hem,Internal calculation,By convention,89cox/wag,98cha"
/species/gibbsiteam,Al(OH)3,78.004,31.956,-1138697.0,-1276120.0,71.13,nan,nan,nan,nan,"78hel/del,Internal calculation,93bar"
/species/gibbsitemc,Al(OH)3,78.004,31.956,-1145691.0,-1293380.0,36.696,nan,nan,nan,nan,"78hel/del,90nor/plu,Internal calculation"
/species/gibbsite,Al(OH)3,78.004,31.956,-1154909.0,-1293131.0,68.45,91.72,54.7,170.27,-12.22,"78hel/del,95pok/hel,Internal calculation"
/species/corundumgamma,Al2O3,101.961,20.42,-1563869.0,-1656900.0,52.3,82.77,102.98,37.76,-27.98,"78hel/del,Internal calculation,89cox/wag"
/species/corundumalpha,Al2O3,101.961,25.58,-1582257.0,-1675700.0,50.92,79.03,98.25,36.75,-26.83,"95rob/hem,Internal calculation,89cox/wag"
/species/augelite,Al2PO4(OH)3,199.956,74.2,-2765210.0,nan,nan,nan,nan,nan,nan,"63wyc,79vie/tar"
/species/dickite,Al2Si2O5(OH)4,258.16,99.3,-3777302.0,-4099800.0,197.1,239.56,268.92,147.15,-65.1,"78hel/del|78rob/hem,Internal calculation,06bla/pia"
/species/halloysite,Al2Si2O5(OH)4,258.16,99.3,-3771950.0,-4092600.0,203.3,246.3,246.3,0.0,0.0,"78hel/del|78rob/hem,Internal calculation,06bla/pia"
/species/kaolinite,Al2Si2O5(OH)4,258.16,99.34,-3793935.0,-4115300.0,200.9,243.37,277.18,130.42,-64.62,"95rob/hem,Internal calculation,01fia/nav,91rob/hem"
