code,detail
By convention,N/A
Internal calculation,N/A
78rob/hem,Missing
04got,Missing
71bduf,Missing
72bduf,Missing
78yag,Missing
73bnri,Missing
76smi/mar,Missing
76wag/eva,Missing
11vie/bla,Missing
92cjoh,Missing
70pan,Missing
70pan/kin,Missing
85hel,Missing
96bou,Missing
92ajoh,Missing
91din,Missing (but we know this is Dinsdale 1991)
68par/wag,Missing
69par/wag,Missing
71par/wag,Missing
70gre/mor,Missing
64aega/wak,Missing
bega/wak,Missing
64a|bega/wak,Missing
74avol/yag,Missing
79kru/rob,">Krupka, K.M., Robie, R.A., Hemingway, B.S., 1979. High-temperatur heat capacities of corundum, periclas, anorthite, CaAl2S2O8 glass, muscovite, pyrophyllite, KAlSi3O8 glass, grossular and NaAlSi3O8 glass. Am. Mineral., 64, p. 86-101"
99aki/zot,"Akinfiev N. and Zotov A., 1999. Thermodynamic description of equilibria in mixed fluids (H2O-non-polar gas) over a wide range of temperature (25-700C) and pressure (1-5000 bars). Geochimica et Cosmochimica Acta, 63, 2025-2041"
94aki/zot,"Akinfiev N.N., Zotov A.V., and Shikina N.D. (1994) Experimental investigation and thermodynamic correlation in the Sb(III)-S(II)-O-H system. Geochem. Intern. 31, 27-40."
14aki/tag,"Akinfiev, N., Tagirov, B., 2014. Zn in hydrothermal systems: thermodynamic description of hydroxide, chloride, and hydrosulfide complexes. Geochemistry International 52, 197-214."
94alb/tom,"Al-Borno, A., Tomson, M.B. (1994) The temperature dependence of the solubility product constant of vivianite. Geochim. Cosmochim. Acta 58, 5373-5378"
04gar/muc,"Alain Garand, Alfonso Mucci. The solubility of fluorite as a function of ionic strength and solution composition at 25C and 1 atm total pressure. Marine Chemistry, Volume 91, Issues 1-4, 15 November 2004, Pages 27-35"
97all/dol,"Allal K. M., Dolinger J.-C., and Martin G. (1997) Determination of thermodynamical data of calcium hydroxichloride. Revue de l'Institut Francais du Petrole 52(3), 361-368."
67and/cou,"Andon R.J.L., Counsell J.F., Martin J.F., and Mash C.J., 1967. Thermodynamic properties of phosphorus compounds: II. Low temperature heat capacity and entropy of sodium mono-, di-, and triphosphates. J. Appl. Chem., 17, 65-70"
95ant/bid,"Anthony J.W., Bideaux R.A., Bladh K.W. and Nichols M.C., 1995. Handbook of Mineralogy, Volume II. Silica, Silicates. Mineral Data Publishing, Tucson, 904 pp., 2 vols."
96arc,"Archer D.G., 1996. Thermodynamic Properties of Synthetic Otavite, CdCO3(cr): Enthalpy Increment Measurements from 4.5 K to 350 K. J. Chem. Eng. Data, 41, p. 852 858."
85bab/mat,"Babushkin, V.I., Matveyev, G.M., and Mchedlov-Petrossyan, O.P. 1985. Thermodynamics of Silicates. New York, New York: Springer-Verlag. NNA.19920401.0112"
93bal/chr,"Balarew C., Christov C., Valyashko V., Petrenko S. (1993) J. Solution Chem., 22, 173-181"
98bal/nor,"Ball J.W. and Nordstrom D.K., 1998. Critical evaluation and selection of standard state thermodynamic properties for chromium metal and its aqueous ions, hydrolysis species, oxides and hydroxides. J. Chem. Eng. Data 43, p. 895-918."
73bar/kna,"Barin I. and Knacke O., 1973, Thermochemical Properties of Inorganic Substances. Berlin: Springer-Verlag."
77bar/kna,"Barin I., Knacke O., and Kubaschewski I., 1977: Thermochemical properties of inorganic substances. Springer Verlag, Berlin."
93bar,"Barin, I. (1993) Thermochemical Data of Pure Substances, Weinheim, FRG, VCH."
89bar/sau,"Barin, I., F. Sauert, et al. (1989). Thermochemical Data of Pure Substances. Germany, VCH, Verlagsgesellschaft."
96bbar/pal,"Baron D. and Palmer C. D. (1996b) Solubility of jarosite at 4-35C. Geochim. Cosmochim. Acta 60, 185-195."
96abar/pal,"Baron D. and Palmer C. D., 1996a. Solubility of KFe3(CrO4)2(OH)6 at 4-35C. Geochim. Cosmochim. Acta, 60, pp. 3815-3824."
98bar/pal,"Baron D. and Palmer C. D., 1998. Solubility of KFe(CrO4)2-2H2O at 4-75C. Appl. Geochem., 12, pp. 961-973."
08bas/pet,"Basciano L.C., Peterson R.C. (2008)  Amer. Mineral., 93, 853-862"
01ben/jem,"Ben Cherifa A., and Jemal M., 2001. Synthese et thermochimie de phosphates au cadmium: Partie I: Cas du phosphate tricadmique et de la chlorapatite cadmiee. Thermochimica Acta, 366, p. 1 6."
97ben/dia,"Benezeth P., Diakonov I.I., Pokrovski G.S., Dandurand J.L., Schott J. and Khodakovsky I.L., 1997. Gallium speciation in aqueous solution. Experimental study and modelling: Part 2. Solubility of alpha-GaOOH in acidic solutions from 150 to 250C and hydrolysis constants of gallium (III) to 300oC. Geochim. Cosmochim. Acta, 61, pp. 1345-1357"
63ber/new,"Berman H.A. and Newman E.S. 1963 - Heat of formation of calcium aluminate monosulfate at 25 C, Journal of Research of the National Bureau of Standards. A, Physics and Chemistry, 65, pp. 1-13"
61ber/new,"Berman H.A. and Newman E.S., 1961. Heat of formation of calcium aluminate monocarbonate at 25C, Journal of Research of the National Bureau of Standards. A, Physics and Chemistry, 65, pp. 197-207"
00bla/bid,"Bladh K.W., Bideaux R.A., Anthony-Morton E., Nichols B.G. (2000) The Handbook of Mineralogy Volume IV, Mineralogical Society of America."
08bla,"Blanc P. (2008) : Thermoddem - Selection de proprietes thermodynamiques pour les principales especes aqueuses et minerales porteuses de fer. Rapport final. Rapport BRGM/RP-56587-FR, 70p."
09bla,Blanc P. (2009) - Thermochimie - Selection de constantes thermodynamiques pour les zeolites : version 2. Rapport final. Rapport BRGM/RP-57796-FR. 55 p.
17abla,Blanc P. (2017) Selection de proprietes thermodynamiques pour les principales especes aqueuses et minerales porteuses de thallium. Rapport final. Rapport BRGM 66385-FR.
13bla/gab,"Blanc P., Gaboreau S. (2013) - Thermoddem : Selection de proprietes thermodynamiques pour les principales especes aqueuses et minerales porteuses de nickel. Rapport final. BRGM/RP-61871-FR. 35 p., 12 fig., 4 tabl."
06bla/ign,"Blanc P., Ignatadis I., Lassin A. et Burnol A., 2006. Thermochimie : Selection de constantes thermodynamiques pour le chrome, le cobalt et le strontium. Rapport final. Rapport BRGM 55083-FR."
13bla/las,"Blanc P., Lassin A. (2013) - Thermoddem : Selection de proprietes thermodynamiques pour les principales especes aqueuses et minerales porteuses d'arsenic. Rapport final. BRGM/RP-62585-FR. 29 p., 5 fig., 3 tabl."
06bla/las,"Blanc P., Lassin A., Gaucher E.C. et Jacquot E., 2006. Un modele thermodynamique et mineralogique de beton : prise en compte de l'influence de la temperature. Rapport final. Rapport BRGM 55084-FR."
06bla/pia,"Blanc P., Piantone P., Lassin A. et Burnol A., 2006. Thermochimie : Selection de constantes thermodynamiques pour les elements majeurs, le plomb et le cadmium. Rapport final. Rapport BRGM 54902-FR"
14bla/gai,"Blanc, P., Gailhanou, H., Rogez, J., Mikaelian, G., Kawaji, H., Warmont, F., Grangeon, S., Greneche, J.M., Fialips, C.I., Giffaut, E., Gaucher, E.C., Claret, F., 2014, Thermodynamic properties of a chlorite and a berthierine by calorimetric methods: Physics and Chemistry of Minerals (accdepted)"
19bla/lac,"Blanc, P., Lach, A., Guignot, S., 2019. Mineralogy and suitability of materials for geopolymer production. Brgm, p. 61."
15bla/vie,"Blanc, P., Vieillard, P., Gailhanou, H., Gaboreau, S., Gaucher, E.C., Fialips, C.I., Made, B., Giffaut, E., 2015. A generalized model for predicting the thermodynamic properties of clay minerals. American Journal of Science 315, 734-780."
10abla/bou,"Blanc, Ph.; Bourbon, X.; Lassin, A.; Gaucher, E.C.  2010 - Chemical model for cement-based materials: Temperature dependence of thermodynamic functions for nanocrystalline and crystalline C-S-H phases. Cement and Concrete Research, 40, p. 851-867"
10bbla/bou,"Blanc, Ph.; Bourbon, X.; Lassin, A.; Gaucher, E.C.  2010 - Chemical model for cement-based materials: Thermodynamic data assessment for phases other than C-S-H. Cement and Concrete Research,  40, p. 1360-1374."
06bod/las,"Bodenan F., Lassin A., Hottier M., Filippov L. et Piantone P., 2006. Projet Decalco - Piegeage et valorisation de dechet alcalin par passivation au CO2 industriel. Rapport BRGM/RP-55015-FR, 140 p."
69bol/ptu,"Bol'shakov, A.P. and L.I. Ptushko (1969) Alteration products of melanterite from Nikitov mercury ore deposits. Zap. Vses. Mineral. Obshch., 3, 288-294 (in Russian)."
99bot/bro,"Bothe JV, Brown PW (1999) The stabilities of calcium arsenates at 23 C. J Hazard Mater B 69:197-207"
98bre/lin,"Brennan, E.W., Lindsay, W.L. (1998) Reduction and oxidation effect on the solubility and transformation of iron oxides, Soil Sci. Soc. Am. J. 62, 930-937"
84bus/plu,"Busenberg E., Plummer L.N. and Parker V.B., 1984. The solubility of strontianite (SrCO3) in CO2-H2O solutions between 2 and 91C, the association constants of SrHCO3+(aq) and SrCO3O(aq) between 5 and 80C, and an evaluation of the thermodynamic properties of Sr++(aq) and SrCO3(cr) at 25C and 1 atm total pressure. Geochim. et Cosmochim. Acta, 48, p. 2021-2035."
87gar/par,"CODATA87   Garvin D., Parker V.B and White H.J., 1987. CODATA Series on Thermodynamic Properties, Hemisphere, Washington, DC."
85cha/dav,"Chase, M. W., Jr., C. A. Davies, J. R. Downey, Jr., D. J. Frurip, R. A. McDonald, and A. N. Syverud 1985. JANAF Thermochemical Tables, 3rd. ed., J. Phys. Chem. Ref. Data 14, Suppl. 1, Am. Chem. Soc. and Am. Inst. of Physics, Washington, D. C."
98cha,"Chase, M.W.J., 1998. NIST-JANAF Thermochemical Tables, Journal of Physical Chemistry Reference Data, Vol. 9, 4th Edition. National Institute of Standards and Technology, Washington DC, 1951 pp."
98cha/kru,"Chatterjee, N.D., Kruger, R., Haller, G., Olbricht, W., 1998. The Bayesian approach to an internally consistent thermodynamic database: theory, database, and generation of phase diagrams. Contributions to Mineralogy and Petrology 133, 149-168."
04chi,"Chivot J., 2004. Thermodynamique des produits de corrosion. Fonctions thermodynamiques de solubilite, diagrammes E-pH des systemes Fe-H2O, Fe-CO2-H2O, Fe-S-H2O, Cr-H2O et Ni-H2O en fonction de la temperature. Document ANDRA, Collection Sciences et Techniques."
02cho/sea,"Chou, I.M., Seal, R.R., Hemingway, B.S. (2002) Determination of melanterite-rozenite and chalcanthite-bonattite equilibria by humidity measurements at 0.1 MPa, Am. Mineral. 87, 108-114."
04chr,"Christov C., 2004. 'Pitzer ion-interaction parameters for Fe(II) and Fe(III) in the quinary {Na + K + Mg + Cl + SO4 + H2O} system at T = 298.15 K.' J. Chem. Thermod. 36: 223-235."
92cir/nav,"Circone S. and Navrotsky A., 1992. Substitution of (6,4)Al in phlogopite : high pressure solution calorimetry , heat capacities and thermodynamic properties of the phlogopite -eastonite join. American Mineralogist, 77, p. 1191-1205."
