X,Y,Z,phase_id,diameter,density,U,V,W
-0.0507749,-0.798147,-0.200612,1,0.00971052,2500,0,0,0
-0.0486164,-0.816202,-0.225035,1,0.00834185,2500,0,0,0
-0.031646,-0.813702,-0.219164,1,0.0109747,2500,0,0,0
-0.0332833,-0.825178,-0.219393,1,0.00967983,2500,0,0,0
-0.0248844,-0.830159,-0.216423,1,0.00984182,2500,0,0,0
-0.00857591,-0.838121,-0.208773,1,0.00992759,2500,0,0,0
-0.00275312,-0.832665,-0.20077,1,0.010756,2500,0,0,0
0.0157276,-0.837839,-0.208196,1,0.0104387,2500,0,0,0
0.0196605,-0.831447,-0.215105,1,0.00997808,2500,0,0,0
0.0271083,-0.82645,-0.219492,1,0.00999619,2500,0,0,0
0.035544,-0.828885,-0.215687,1,0.00915771,2500,0,0,0
0.0445244,-0.828239,-0.211771,1,0.0105089,2500,0,0,0
0.0470488,-0.822092,-0.219129,1,0.0093335,2500,0,0,0
0.046275,-0.804331,-0.210487,1,0.0112717,2500,0,0,0
0.0424054,-0.812701,-0.216903,1,0.011208,2500,0,0,0
-0.0647062,-0.813189,-0.223349,1,0.00910882,2500,0,0,0
-0.0567073,-0.827164,-0.211614,1,0.00973671,2500,0,0,0
-0.0558953,-0.818026,-0.22167,1,0.00811314,2500,0,0,0
-0.0407146,-0.819838,-0.222609,1,0.00972259,2500,0,0,0
-0.0313991,-0.834679,-0.211146,1,0.00921096,2500,0,0,0
-0.0260162,-0.841073,-0.205317,1,0.0111719,2500,0,0,0
-0.0176779,-0.838359,-0.209604,1,0.00836717,2500,0,0,0
-0.00481157,-0.845246,-0.203243,1,0.00966474,2500,0,0,0
0.00244703,-0.842049,-0.197154,1,0.0103988,2500,0,0,0
0.00752588,-0.843546,-0.187506,1,0.0116552,2500,0,0,0
0.00221045,-0.839352,-0.207287,1,0.0104154,2500,0,0,0
0.0261463,-0.839501,-0.207878,1,0.00919843,2500,0,0,0
0.0421079,-0.836447,-0.206535,1,0.00959826,2500,0,0,0
0.0348203,-0.831358,-0.18899,1,0.0106673,2500,0,0,0
0.0516655,-0.833514,-0.205808,1,0.0104744,2500,0,0,0
0.0560138,-0.81989,-0.219146,1,0.00913781,2500,0,0,0
0.0468439,-0.817081,-0.205289,1,0.0106929,2500,0,0,0
0.0580097,-0.812802,-0.202789,1,0.0118787,2500,0,0,0
0.0698887,-0.822171,-0.213386,1,0.00929658,2500,0,0,0
-0.0858509,-0.822071,-0.207575,1,0.00912569,2500,0,0,0
-0.0711019,-0.822745,-0.212438,1,0.00945151,2500,0,0,0
-0.0718314,-0.832245,-0.203199,1,0.00947315,2500,0,0,0
-0.063751,-0.82851,-0.198506,1,0.0101481,2500,0,0,0
-0.0485614,-0.832152,-0.208531,1,0.0103511,2500,0,0,0
-0.0482493,-0.825015,-0.21598,1,0.00943535,2500,0,0,0
-0.0399116,-0.829439,-0.213358,1,0.0101728,2500,0,0,0
-0.037416,-0.835026,-0.192815,1,0.010036,2500,0,0,0
-0.0149615,-0.844654,-0.202996,1,0.0106805,2500,0,0,0
-0.0252387,-0.85003,-0.198884,1,0.0109877,2500,0,0,0
-0.00926628,-0.84752,-0.194495,1,0.0105742,2500,0,0,0
-0.000453356,-0.852341,-0.197472,1,0.010431,2500,0,0,0
0.0107872,-0.852278,-0.195211,1,0.0125401,2500,0,0,0
0.00993759,-0.844711,-0.203446,1,0.00990338,2500,0,0,0
0.0291513,-0.846216,-0.196137,1,0.0106193,2500,0,0,0
0.0379394,-0.84113,-0.192447,1,0.0110398,2500,0,0,0
0.0432731,-0.843486,-0.200578,1,0.00903254,2500,0,0,0
0.0517271,-0.841287,-0.20042,1,0.00844925,2500,0,0,0
0.0565957,-0.838776,-0.192578,1,0.0106949,2500,0,0,0
0.0660153,-0.841152,-0.196062,1,0.00997275,2500,0,0,0
