T(K),Cp,S,-[G-H(Tr)]/T,H-H(Tr),delta-f H,delta-f G,log Kf
0,0.,0.,1e9,-8.670,0.,0.,0.
100,29.104,159.811,217.490,-5.768,0.,0.,0.
200,29.107,179.985,194.272,-2.857,0.,0.,0.
298.15,29.124,191.609,191.609,0.,0.,0.,0.
300,29.125,191.789,191.610,0.054,0.,0.,0.
400,29.249,200.181,192.753,2.971,0.,0.,0.
500,29.580,206.739,194.917,5.911,0.,0.,0.
600,30.110,212.176,197.353,8.894,0.,0.,0.
700,30.754,216.866,199.813,11.937,0.,0.,0.
800,31.433,221.017,202.209,15.046,0.,0.,0.
900,32.090,224.757,204.510,18.223,0.,0.,0.
1000,32.697,228.170,206.708,21.463,0.,0.,0.
1100,33.241,231.313,208.804,24.760,0.,0.,0.
1200,33.723,234.226,210.802,28.109,0.,0.,0.
1300,34.147,236.943,212.710,31.503,0.,0.,0.
1400,34.518,239.487,214.533,34.936,0.,0.,0.
1500,34.843,241.880,216.277,38.405,0.,0.,0.
1600,35.128,244.138,217.948,41.904,0.,0.,0.
