T(K),Cp,S,-[G-H(Tr)]/T,H-H(Tr),delta-f H,delta-f G,log Kf
0,0.,0.,1e9,-3.218,0.,0.,0.
100,7.268,3.833,33.351,-2.952,0.,0.,0.
200,15.636,11.665,20.531,-1.773,0.,0.,0.
298.15,20.000,18.820,18.820,0.,0.,0.,0.
300,20.050,18.943,18.820,0.037,0.,0.,0.
400,22.142,25.032,19.636,2.159,0.,0.,0.
500,23.330,30.110,21.237,4.436,0.,0.,0.
600,24.154,34.440,23.086,6.812,0.,0.,0.
700,24.803,38.212,24.983,9.260,0.,0.,0.
800,25.359,41.562,26.850,11.769,0.,0.,0.
900,25.874,44.579,28.655,14.331,0.,0.,0.
1000,26.338,47.329,30.387,16.942,0.,0.,0.
1100,26.778,49.860,32.044,19.598,0.,0.,0.
1200,27.196,52.208,33.627,22.297,0.,0.,0.
1300,27.614,54.401,35.142,25.037,0.,0.,0.
1400,28.033,56.463,36.592,27.820,0.,0.,0.
1500,28.451,58.411,37.982,30.644,0.,0.,0.
1600,28.870,60.261,39.317,33.510,0.,0.,0.
