T(K),Cp,S,-[G-H(Tr)]/T,H-H(Tr),delta-f H,delta-f G,log Kf
0,,,,,,,
100,,,,,,,
200,,,,,,,
298.15,99.533,112.967,112.967,0.,-744.752,-647.343,113.412
300,99.788,113.583,112.969,0.184,-744.787,-646.739,112.607
400,110.667,143.790,117.014,10.711,-746.459,-613.792,80.153
500,120.708,169.582,125.007,22.288,-747.595,-580.482,60.643
600,129.704,192.417,134.374,34.826,-748.151,-546.998,47.620
700,138.072,213.048,144.162,48.220,-748.186,-513.462,38.315
800,145.812,232.003,153.973,62.424,-747.729,-479.956,31.338
900,152.298,249.566,163.631,77.342,-746.850,-446.533,25.916
1000,158.155,265.920,173.051,92.869,-745.635,-413.227,21.585
1100,163.678,281.258,182.198,108.966,-744.100,-380.058,18.047
1200,168.490,295.712,191.061,125.581,-742.280,-347.041,15.106
1300,172.531,309.362,199.641,142.637,-740.233,-314.187,12.624
1400,175.920,322.276,207.944,160.065,-738.019,-281.496,10.503
1500,178.657,334.510,215.977,177.799,-735.694,-248.968,8.670
1600,180.548,346.102,223.751,195.762,-733.327,-216.597,7.071
