Al,Mg,Si,Zn,liquidus,eq_liquidus
0.25,0.01,0.01,,758.9954259047071,{'LIQUID#1': 1.0}
0.25,0.01,0.02,,809.8454700277373,{'LIQUID#1': 1.0}
0.25,0.01,0.03,,858.7369428425791,"{'DIAMOND_A4#1': 2.1759389814276077e-16, 'LIQUID#1': 1.0}"
0.25,0.01,0.04,,896.8073564951061,{'LIQUID#1': 1.0}
0.25,0.01,0.05,,928.4831174540145,"{'DIAMOND_A4#1': 4.700568279155846e-16, 'LIQUID#1': 1.0}"
0.25,0.01,0.06,,955.8757798245967,{'LIQUID#1': 1.0}
0.25,0.01,0.07,,980.1736728203103,"{'DIAMOND_A4#1': 3.258418427370275e-16, 'LIQUID#1': 1.0}"
0.25,0.01,0.08,,1002.118070295924,{'LIQUID#1': 0.9999999999999998}
0.25,0.01,0.09,,1022.205255145656,"{'DIAMOND_A4#1': 3.111693957070774e-16, 'LIQUID#1': 1.0}"
0.25,0.02,0.01,,758.7220773956122,{'LIQUID#1': 1.0}
0.25,0.02,0.02,,794.1307916641582,{'LIQUID#1': 1.0}
0.25,0.02,0.03,,842.7644192574215,{'LIQUID#1': 0.9999999999999999}
0.25,0.02,0.04,,880.8008152276898,{'LIQUID#1': 1.0}
0.25,0.02,0.05,,912.5681898286165,{'LIQUID#1': 1.0}
0.25,0.02,0.06,,940.1302566181652,"{'DIAMOND_A4#1': 4.44089209850058e-16, 'LIQUID#1': 1.0}"
0.25,0.02,0.07,,964.647914442055,"{'DIAMOND_A4#1': 3.415133086722319e-16, 'LIQUID#1': 0.9999999999999999}"
0.25,0.02,0.08,,986.845082116118,"{'DIAMOND_A4#1': 9.120790971337677e-17, 'LIQUID#1': 1.0}"
0.25,0.02,0.09,,1007.2063294782109,{'LIQUID#1': 1.0}
0.25,0.03,0.01,,757.5710322889613,"{'FCC_A1#1': 3.7765556019373686e-17, 'LIQUID#1': 1.0}"
0.25,0.03,0.02,,778.1751470602629,"{'DIAMOND_A4#1': 1.6117092050952793e-15, 'LIQUID#1': 1.0}"
0.25,0.03,0.03,,826.5144222743882,{'LIQUID#1': 1.0}
0.25,0.03,0.04,,864.4897493591842,"{'DIAMOND_A4#1': 3.6146000289617005e-16, 'LIQUID#1': 1.0}"
0.25,0.03,0.05,,896.3286728243615,"{'DIAMOND_A4#1': 1.1316226489749158e-16, 'LIQUID#1': 1.0}"
0.25,0.03,0.06,,924.0456912277169,{'LIQUID#1': 1.0}
0.25,0.03,0.07,,948.7733645217,{'LIQUID#1': 1.0}
0.25,0.03,0.08,,971.2175879370355,"{'DIAMOND_A4#1': 4.2156519696328566e-16, 'LIQUID#1': 1.0}"
0.25,0.03,0.09,,991.8506895315497,{'LIQUID#1': 1.0}
0.25,0.04,0.01,,755.6318752336254,"{'FCC_A1#1': 6.07926004062969e-16, 'LIQUID#1': 0.9999999999999999}"
0.25,0.04,0.02,,763.0550847044215,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.8877637043294555e-16}"
0.25,0.04,0.03,,810.0327567039461,"{'DIAMOND_A4#1': 6.59666817679229e-17, 'LIQUID#1': 0.9999999999999999}"
0.25,0.04,0.04,,847.9181246400211,{'LIQUID#1': 1.0}
0.25,0.04,0.05,,879.8060384566046,{'LIQUID#1': 1.0}
0.25,0.04,0.06,,907.660659124365,{'LIQUID#1': 1.0}
0.25,0.04,0.07,,932.5854528025419,"{'DIAMOND_A4#1': 1.5431264898681915e-16, 'LIQUID#1': 1.0}"
0.25,0.04,0.08,,955.2677250201377,{'LIQUID#1': 1.0}
0.25,0.04,0.09,,976.1671064783221,{'LIQUID#1': 1.0}
0.25,0.05,0.01,,762.7064978704241,{'LIQUID#1': 1.0}
0.25,0.05,0.02,,792.9440371214686,"{'LIQUID#1': 1.0, 'MG2SI#1': 4.261649799713607e-16}"
0.25,0.05,0.03,,807.158428996069,"{'LIQUID#1': 1.0000000000000002, 'MG2SI#1': 5.265694744255751e-16}"
0.25,0.05,0.04,,831.1274963831145,{'LIQUID#1': 1.0}
0.25,0.05,0.05,,863.0397927379144,{'LIQUID#1': 1.0}
0.25,0.05,0.06,,891.0121944655731,"{'DIAMOND_A4#1': 6.150641442446859e-16, 'LIQUID#1': 1.0}"
0.25,0.05,0.07,,916.1184676481163,"{'DIAMOND_A4#1': 5.283705866252284e-17, 'LIQUID#1': 1.0}"
0.25,0.05,0.08,,939.0268622694092,"{'DIAMOND_A4#1': 9.012633949115491e-16, 'LIQUID#1': 1.0}"
0.25,0.05,0.09,,960.1839277893741,{'LIQUID#1': 1.0}
0.25,0.06,0.01,,785.6644419258872,{'LIQUID#1': 1.0}
0.25,0.06,0.02,,817.875483967006,{'LIQUID#1': 1.0}
0.25,0.06,0.03,,833.4637544834823,{'LIQUID#1': 1.0}
0.25,0.06,0.04,,841.8826558867871,{'LIQUID#1': 1.0}
0.25,0.06,0.05,,846.265359873283,"{'LIQUID#1': 0.9999999999999998, 'MG2SI#1': 2.257185843443796e-16}"
0.25,0.06,0.06,,874.1357663666126,"{'DIAMOND_A4#1': 1.4118387779641422e-15, 'LIQUID#1': 1.0}"
0.25,0.06,0.07,,899.4055077782185,"{'DIAMOND_A4#1': 1.9296980481517314e-15, 'LIQUID#1': 0.9999999999999999}"
0.25,0.06,0.08,,922.5255309790872,"{'DIAMOND_A4#1': 2.843061016148407e-15, 'LIQUID#1': 1.0}"
0.25,0.06,0.09,,943.9289907347259,{'LIQUID#1': 1.0}
0.25,0.07,0.01,,805.1028093705378,{'LIQUID#1': 1.0}
0.25,0.07,0.02,,839.0823768523184,"{'LIQUID#1': 1.0, 'MG2SI#1': 4.227271428219273e-16}"
0.25,0.07,0.03,,855.9252600620457,{'LIQUID#1': 0.9999999999999999}
0.25,0.07,0.04,,865.3627431591174,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.8572772882339184e-16}"
