AT,C,Mn,Cu,Si,Ni,Cr,Mo,V,Al,W,N,Co,t,T
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2762.34528,693.84245
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2868.39673,701.03503
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,3092.87047,707.28122
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,3392.51034,712.39174
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,3798.4372,716.55587
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,4238.39406,720.34144
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,4778.15107,724.69485
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,5368.22899,728.10186
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,6051.8698,731.31959
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,6964.21935,734.34805
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,7932.19069,736.99795
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,8973.02911,740.02641
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,10648.99013,744.00126
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,12170.72686,746.2726
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,13909.9192,748.9225
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,15897.64148,751.19384
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,17922.19681,753.65446
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,20135.4991,756.8722
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,22622.13321,759.14354
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,26121.84257,761.41488
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,29549.47289,763.8755
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,32746.98697,765.38973
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,1556.2834,711.35654
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,1613.59803,718.30032
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,1734.63736,725.44249
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,2139.47582,736.35414
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,2350.41595,740.32201
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,2610.32192,743.8931
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,2930.59238,747.06739
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,3266.44558,750.63848
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,3707.22353,753.81278
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,4162.07707,756.39189
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,4672.73835,758.57422
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,5322.49763,761.35173
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,6018.91424,763.93085
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,6930.65323,765.91479
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,7922.9853,768.09712
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,9189.37975,770.27945
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,12361.77674,774.44571
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,13928.77452,776.03286
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,15865.61536,778.61198
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,18137.25678,780.79431
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,20510.40712,781.19109
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,23702.87151,782.77824
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,26998.83194,783.77021
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,30976.35572,785.55575
