AT,C,Mn,Cu,Si,Ni,Cr,Mo,V,Al,W,N,Co,t,T
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,982.2399,617.5632
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,867.26087,620.02382
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,763.16886,623.24156
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,676.10494,626.64857
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,600.99226,630.43414
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,525.31183,634.78755
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,462.26186,637.816
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,413.68085,640.4659
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,364.02927,643.87292
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,329.077,647.27993
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,299.48932,650.49766
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,264.4317,654.66179
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,237.43906,658.06881
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,214.64135,661.47582
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,191.43857,665.82922
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,174.81333,669.6148
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,156.44147,674.53604
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,143.8201,678.51089
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,134.00853,682.86429
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,122.78317,688.16409
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,112.87728,694.41028
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,9737.10273,554.15489
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,8678.6775,556.80479
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,7735.30333,559.64397
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,6870.47425,561.91531
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,6145.04326,565.51161
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,5458.00982,568.72934
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,4830.91338,571.7578
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,3918.89321,577.43615
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,3517.35406,580.65389
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,3091.59193,584.25018
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2745.94309,586.7108
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2430.44876,590.68565
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2181.41919,593.71411
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1944.29844,596.36401
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1745.08098,599.9603
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1560.82357,603.36731
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1396.02129,606.9636
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1222.76694,610.37062
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1093.65897,613.39907
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1009.36913,616.61681
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,26755.65063,530.68436
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,23978.34109,533.52354
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,21415.85236,535.79488
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,19127.20861,538.2555
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,17024.73803,541.47323
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,15205.35865,543.36602
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,13441.59289,546.39447
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,11964.08752,549.42293
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,10612.58148,552.26211
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,972.52768,629.61838
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,866.24477,632.39589
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,763.25082,634.97501
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,672.50254,637.55412
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,596.84549,640.72842
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,518.32947,643.70432
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,458.35632,646.08505
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,371.62467,651.24328
