AT,C,Mn,Cu,Si,Ni,Cr,Mo,V,Al,W,N,Co,t,T
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,113.63945,696.8709
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,118.32176,703.49565
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,125.70944,709.93112
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,135.3681,715.04164
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,148.24198,719.20577
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,165.09449,722.99134
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,183.24521,725.83052
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,202.70825,728.85897
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,228.04295,732.45527
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,260.89656,735.673
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,298.48331,738.70146
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,338.05539,741.72991
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,385.45907,744.00126
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,433.63418,747.21899
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,491.12419,749.30105
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,554.36762,751.76168
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,632.1036,754.2223
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,713.50134,756.8722
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,802.67554,758.95426
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,884.9475,760.84704
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,995.54924,762.73983
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1019.98389,762.92911
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1156.41257,765.01117
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1315.66926,766.71468
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1720.90883,771.63592
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1937.53027,772.77159
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2173.8256,775.04293
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2430.44876,776.74644
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2745.94309,778.63923
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,3113.2287,780.15345
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,3505.11004,782.23552
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,4057.95972,783.74975
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,4616.80632,786.02109
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,5161.82679,787.34604
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,5852.25067,789.4281
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,6635.0227,791.69944
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,7522.49496,793.78151
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,8410.53606,796.05285
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,9535.4934,797.3778
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,10468.18743,798.70275
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,11841.79178,800.59553
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,13349.83702,802.29904
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,15205.35865,804.38111
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,17200.56049,806.08461
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,19192.82845,807.59884
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,22238.04582,809.49163
980,0.06,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,25328.95807,811.76297
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,105.56317,704.61116
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,111.44803,712.94369
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,127.86679,726.03767
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,140.98268,731.59269
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,153.21141,736.75093
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,171.38855,741.71077
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,193.8137,746.07543
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,219.17305,750.44009
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,246.95576,754.20956
